# Composed directly from input data
region,sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate
Taiwan,electricity,wind,wind,2065,capital,474,0.175373244
Taiwan,electricity,wind,wind,2070,capital,469,0.175373244
Taiwan,electricity,wind,wind,2075,capital,464,0.175373244
Taiwan,electricity,wind,wind,2080,capital,459,0.175373244
Taiwan,electricity,wind,wind,2085,capital,456,0.175373244
Taiwan,electricity,wind,wind,2090,capital,453,0.175373244
Taiwan,electricity,wind,wind,2095,capital,450,0.175373244
Taiwan,electricity,wind,wind,2100,capital,448,0.175373244
Taiwan,electricity,wind,wind_offshore,1975,capital,1039,0.175373244
Taiwan,electricity,wind,wind_offshore,1990,capital,1039,0.175373244
Taiwan,electricity,wind,wind_offshore,2005,capital,1039,0.175373244
Taiwan,electricity,wind,wind_offshore,2010,capital,1039,0.175373244
Taiwan,electricity,wind,wind_offshore,2015,capital,1039,0.175373244
Taiwan,electricity,wind,wind_offshore,2020,capital,995,0.175373244
Taiwan,electricity,wind,wind_offshore,2025,capital,957,0.175373244
Taiwan,electricity,wind,wind_offshore,2030,capital,925,0.175373244
Taiwan,electricity,wind,wind_offshore,2035,capital,897,0.175373244
Taiwan,electricity,wind,wind_offshore,2040,capital,873,0.175373244
Taiwan,electricity,wind,wind_offshore,2045,capital,852,0.175373244
Taiwan,electricity,wind,wind_offshore,2050,capital,835,0.175373244
Taiwan,electricity,wind,wind_offshore,2055,capital,819,0.175373244
Taiwan,electricity,wind,wind_offshore,2060,capital,806,0.175373244
Taiwan,electricity,wind,wind_offshore,2065,capital,795,0.175373244
Taiwan,electricity,wind,wind_offshore,2070,capital,786,0.175373244
Taiwan,electricity,wind,wind_offshore,2075,capital,777,0.175373244
Taiwan,electricity,wind,wind_offshore,2080,capital,770,0.175373244
Taiwan,electricity,wind,wind_offshore,2085,capital,764,0.175373244
Taiwan,electricity,wind,wind_offshore,2090,capital,759,0.175373244
Taiwan,electricity,wind,wind_offshore,2095,capital,755,0.175373244
Taiwan,electricity,wind,wind_offshore,2100,capital,751,0.175373244
Taiwan,electricity,solar,PV,1975,capital,578,0.175373244
Taiwan,electricity,solar,PV,1990,capital,578,0.175373244
Taiwan,electricity,solar,PV,2005,capital,578,0.175373244
Taiwan,electricity,solar,PV,2010,capital,578,0.175373244
Taiwan,electricity,solar,PV,2015,capital,578,0.175373244
Taiwan,electricity,solar,PV,2020,capital,554,0.175373244
Taiwan,electricity,solar,PV,2025,capital,533,0.175373244
Taiwan,electricity,solar,PV,2030,capital,515,0.175373244
Taiwan,electricity,solar,PV,2035,capital,499,0.175373244
Taiwan,electricity,solar,PV,2040,capital,486,0.175373244
Taiwan,electricity,solar,PV,2045,capital,474,0.175373244
Taiwan,electricity,solar,PV,2050,capital,465,0.175373244
Taiwan,electricity,solar,PV,2055,capital,456,0.175373244
Taiwan,electricity,solar,PV,2060,capital,449,0.175373244
Taiwan,electricity,solar,PV,2065,capital,443,0.175373244
Taiwan,electricity,solar,PV,2070,capital,437,0.175373244
Taiwan,electricity,solar,PV,2075,capital,433,0.175373244
Taiwan,electricity,solar,PV,2080,capital,429,0.175373244
Taiwan,electricity,solar,PV,2085,capital,425,0.175373244
Taiwan,electricity,solar,PV,2090,capital,423,0.175373244
Taiwan,electricity,solar,PV,2095,capital,420,0.175373244
Taiwan,electricity,solar,PV,2100,capital,418,0.175373244
Argentina,electricity,wind,wind,1975,capital,611,0.221977557
Argentina,electricity,wind,wind,1990,capital,494,0.221977557
Argentina,electricity,wind,wind,2005,capital,380,0.221977557
Argentina,electricity,wind,wind,2010,capital,620,0.221977557
Argentina,electricity,wind,wind,2015,capital,620,0.221977557
Argentina,electricity,wind,wind,2020,capital,593,0.221977557
Argentina,electricity,wind,wind,2025,capital,571,0.221977557
Argentina,electricity,wind,wind,2030,capital,551,0.221977557
Argentina,electricity,wind,wind,2035,capital,535,0.221977557
Argentina,electricity,wind,wind,2040,capital,521,0.221977557
Argentina,electricity,wind,wind,2045,capital,508,0.221977557
Argentina,electricity,wind,wind,2050,capital,498,0.221977557
Argentina,electricity,wind,wind,2055,capital,489,0.221977557
Argentina,electricity,wind,wind,2060,capital,481,0.221977557
Argentina,electricity,wind,wind,2065,capital,474,0.221977557
Argentina,electricity,wind,wind,2070,capital,469,0.221977557
Argentina,electricity,wind,wind,2075,capital,464,0.221977557
Argentina,electricity,wind,wind,2080,capital,459,0.221977557
Argentina,electricity,wind,wind,2085,capital,456,0.221977557
Argentina,electricity,wind,wind,2090,capital,453,0.221977557
Argentina,electricity,wind,wind,2095,capital,450,0.221977557
Argentina,electricity,wind,wind,2100,capital,448,0.221977557
Argentina,electricity,wind,wind_offshore,1975,capital,1039,0.221977557
Argentina,electricity,wind,wind_offshore,1990,capital,1039,0.221977557
Argentina,electricity,wind,wind_offshore,2005,capital,1039,0.221977557
Argentina,electricity,wind,wind_offshore,2010,capital,1039,0.221977557
Argentina,electricity,wind,wind_offshore,2015,capital,1039,0.221977557
Argentina,electricity,wind,wind_offshore,2020,capital,995,0.221977557
Argentina,electricity,wind,wind_offshore,2025,capital,957,0.221977557
Argentina,electricity,wind,wind_offshore,2030,capital,925,0.221977557
Argentina,electricity,wind,wind_offshore,2035,capital,897,0.221977557
Argentina,electricity,wind,wind_offshore,2040,capital,873,0.221977557
Argentina,electricity,wind,wind_offshore,2045,capital,852,0.221977557
Argentina,electricity,wind,wind_offshore,2050,capital,835,0.221977557
Argentina,electricity,wind,wind_offshore,2055,capital,819,0.221977557
Argentina,electricity,wind,wind_offshore,2060,capital,806,0.221977557
Argentina,electricity,wind,wind_offshore,2065,capital,795,0.221977557
Argentina,electricity,wind,wind_offshore,2070,capital,786,0.221977557
Argentina,electricity,wind,wind_offshore,2075,capital,777,0.221977557
Argentina,electricity,wind,wind_offshore,2080,capital,770,0.221977557
Argentina,electricity,wind,wind_offshore,2085,capital,764,0.221977557
Argentina,electricity,wind,wind_offshore,2090,capital,759,0.221977557
Argentina,electricity,wind,wind_offshore,2095,capital,755,0.221977557
Argentina,electricity,wind,wind_offshore,2100,capital,751,0.221977557
Argentina,electricity,solar,PV,1975,capital,578,0.221977557
Argentina,electricity,solar,PV,1990,capital,578,0.221977557
Argentina,electricity,solar,PV,2005,capital,578,0.221977557
Argentina,electricity,solar,PV,2010,capital,578,0.221977557
Argentina,electricity,solar,PV,2015,capital,578,0.221977557
Argentina,electricity,solar,PV,2020,capital,554,0.221977557
Argentina,electricity,solar,PV,2025,capital,533,0.221977557
Argentina,electricity,solar,PV,2030,capital,515,0.221977557
Argentina,electricity,solar,PV,2035,capital,499,0.221977557
Argentina,electricity,solar,PV,2040,capital,486,0.221977557
Argentina,electricity,solar,PV,2045,capital,474,0.221977557
Argentina,electricity,solar,PV,2050,capital,465,0.221977557
Argentina,electricity,solar,PV,2055,capital,456,0.221977557
Argentina,electricity,solar,PV,2060,capital,449,0.221977557
Argentina,electricity,solar,PV,2065,capital,443,0.221977557
Argentina,electricity,solar,PV,2070,capital,437,0.221977557
Argentina,electricity,solar,PV,2075,capital,433,0.221977557
Argentina,electricity,solar,PV,2080,capital,429,0.221977557
Argentina,electricity,solar,PV,2085,capital,425,0.221977557
Argentina,electricity,solar,PV,2090,capital,423,0.221977557
Argentina,electricity,solar,PV,2095,capital,420,0.221977557
Argentina,electricity,solar,PV,2100,capital,418,0.221977557
Colombia,electricity,wind,wind,1975,capital,611,0.196589031
Colombia,electricity,wind,wind,1990,capital,494,0.196589031
Colombia,electricity,wind,wind,2005,capital,380,0.196589031
Colombia,electricity,wind,wind,2010,capital,620,0.196589031
Colombia,electricity,wind,wind,2015,capital,620,0.196589031
Colombia,electricity,wind,wind,2020,capital,593,0.196589031
Colombia,electricity,wind,wind,2025,capital,571,0.196589031
Colombia,electricity,wind,wind,2030,capital,551,0.196589031
Colombia,electricity,wind,wind,2035,capital,535,0.196589031
Colombia,electricity,wind,wind,2040,capital,521,0.196589031
Colombia,electricity,wind,wind,2045,capital,508,0.196589031
Colombia,electricity,wind,wind,2050,capital,498,0.196589031
Colombia,electricity,wind,wind,2055,capital,489,0.196589031
Colombia,electricity,wind,wind,2060,capital,481,0.196589031
Colombia,electricity,wind,wind,2065,capital,474,0.196589031
Colombia,electricity,wind,wind,2070,capital,469,0.196589031
Colombia,electricity,wind,wind,2075,capital,464,0.196589031
Colombia,electricity,wind,wind,2080,capital,459,0.196589031
Colombia,electricity,wind,wind,2085,capital,456,0.196589031
Colombia,electricity,wind,wind,2090,capital,453,0.196589031
Colombia,electricity,wind,wind,2095,capital,450,0.196589031
Colombia,electricity,wind,wind,2100,capital,448,0.196589031
Colombia,electricity,wind,wind_offshore,1975,capital,1039,0.196589031
Colombia,electricity,wind,wind_offshore,1990,capital,1039,0.196589031
Colombia,electricity,wind,wind_offshore,2005,capital,1039,0.196589031
Colombia,electricity,wind,wind_offshore,2010,capital,1039,0.196589031
Colombia,electricity,wind,wind_offshore,2015,capital,1039,0.196589031
Colombia,electricity,wind,wind_offshore,2020,capital,995,0.196589031
Colombia,electricity,wind,wind_offshore,2025,capital,957,0.196589031
Colombia,electricity,wind,wind_offshore,2030,capital,925,0.196589031
Colombia,electricity,wind,wind_offshore,2035,capital,897,0.196589031
Colombia,electricity,wind,wind_offshore,2040,capital,873,0.196589031
Colombia,electricity,wind,wind_offshore,2045,capital,852,0.196589031
Colombia,electricity,wind,wind_offshore,2050,capital,835,0.196589031
Colombia,electricity,wind,wind_offshore,2055,capital,819,0.196589031
Colombia,electricity,wind,wind_offshore,2060,capital,806,0.196589031
Colombia,electricity,wind,wind_offshore,2065,capital,795,0.196589031
Colombia,electricity,wind,wind_offshore,2070,capital,786,0.196589031
Colombia,electricity,wind,wind_offshore,2075,capital,777,0.196589031
Colombia,electricity,wind,wind_offshore,2080,capital,770,0.196589031
Colombia,electricity,wind,wind_offshore,2085,capital,764,0.196589031
Colombia,electricity,wind,wind_offshore,2090,capital,759,0.196589031
Colombia,electricity,wind,wind_offshore,2095,capital,755,0.196589031
Colombia,electricity,wind,wind_offshore,2100,capital,751,0.196589031
Colombia,electricity,solar,PV,1975,capital,578,0.196589031
Colombia,electricity,solar,PV,1990,capital,578,0.196589031
Colombia,electricity,solar,PV,2005,capital,578,0.196589031
Colombia,electricity,solar,PV,2010,capital,578,0.196589031
Colombia,electricity,solar,PV,2015,capital,578,0.196589031
Colombia,electricity,solar,PV,2020,capital,554,0.196589031
Colombia,electricity,solar,PV,2025,capital,533,0.196589031
Colombia,electricity,solar,PV,2030,capital,515,0.196589031
Colombia,electricity,solar,PV,2035,capital,499,0.196589031
Colombia,electricity,solar,PV,2040,capital,486,0.196589031
Colombia,electricity,solar,PV,2045,capital,474,0.196589031
Colombia,electricity,solar,PV,2050,capital,465,0.196589031
Colombia,electricity,solar,PV,2055,capital,456,0.196589031
Colombia,electricity,solar,PV,2060,capital,449,0.196589031
Colombia,electricity,solar,PV,2065,capital,443,0.196589031
Colombia,electricity,solar,PV,2070,capital,437,0.196589031
Colombia,electricity,solar,PV,2075,capital,433,0.196589031
Colombia,electricity,solar,PV,2080,capital,429,0.196589031
Colombia,electricity,solar,PV,2085,capital,425,0.196589031
Colombia,electricity,solar,PV,2090,capital,423,0.196589031
Colombia,electricity,solar,PV,2095,capital,420,0.196589031
Colombia,electricity,solar,PV,2100,capital,418,0.196589031
Uruguay,electricity,wind,wind,1975,capital,611,0.215676645
Uruguay,electricity,wind,wind,1990,capital,494,0.215676645
Uruguay,electricity,wind,wind,2005,capital,380,0.215676645
Uruguay,electricity,wind,wind,2010,capital,620,0.215676645
Uruguay,electricity,wind,wind,2015,capital,620,0.215676645
Uruguay,electricity,wind,wind,2020,capital,593,0.215676645
Uruguay,electricity,wind,wind,2025,capital,571,0.215676645
Uruguay,electricity,wind,wind,2030,capital,551,0.215676645
Uruguay,electricity,wind,wind,2035,capital,535,0.215676645
Uruguay,electricity,wind,wind,2040,capital,521,0.215676645
Uruguay,electricity,wind,wind,2045,capital,508,0.215676645
Uruguay,electricity,wind,wind,2050,capital,498,0.215676645
Uruguay,electricity,wind,wind,2055,capital,489,0.215676645
Uruguay,electricity,wind,wind,2060,capital,481,0.215676645
Uruguay,electricity,wind,wind,2065,capital,474,0.215676645
Uruguay,electricity,wind,wind,2070,capital,469,0.215676645
Uruguay,electricity,wind,wind,2075,capital,464,0.215676645
Uruguay,electricity,wind,wind,2080,capital,459,0.215676645
Uruguay,electricity,wind,wind,2085,capital,456,0.215676645
Uruguay,electricity,wind,wind,2090,capital,453,0.215676645
Uruguay,electricity,wind,wind,2095,capital,450,0.215676645
Uruguay,electricity,wind,wind,2100,capital,448,0.215676645
Uruguay,electricity,wind,wind_offshore,1975,capital,1039,0.215676645
Uruguay,electricity,wind,wind_offshore,1990,capital,1039,0.215676645
Uruguay,electricity,wind,wind_offshore,2005,capital,1039,0.215676645
Uruguay,electricity,wind,wind_offshore,2010,capital,1039,0.215676645
Uruguay,electricity,wind,wind_offshore,2015,capital,1039,0.215676645
Uruguay,electricity,wind,wind_offshore,2020,capital,995,0.215676645
Uruguay,electricity,wind,wind_offshore,2025,capital,957,0.215676645
Uruguay,electricity,wind,wind_offshore,2030,capital,925,0.215676645
Uruguay,electricity,wind,wind_offshore,2035,capital,897,0.215676645
Uruguay,electricity,wind,wind_offshore,2040,capital,873,0.215676645
Uruguay,electricity,wind,wind_offshore,2045,capital,852,0.215676645
Uruguay,electricity,wind,wind_offshore,2050,capital,835,0.215676645
Uruguay,electricity,wind,wind_offshore,2055,capital,819,0.215676645
Uruguay,electricity,wind,wind_offshore,2060,capital,806,0.215676645
Uruguay,electricity,wind,wind_offshore,2065,capital,795,0.215676645
Uruguay,electricity,wind,wind_offshore,2070,capital,786,0.215676645
Uruguay,electricity,wind,wind_offshore,2075,capital,777,0.215676645
Uruguay,electricity,wind,wind_offshore,2080,capital,770,0.215676645
Uruguay,electricity,wind,wind_offshore,2085,capital,764,0.215676645
Uruguay,electricity,wind,wind_offshore,2090,capital,759,0.215676645
Uruguay,electricity,wind,wind_offshore,2095,capital,755,0.215676645
Uruguay,electricity,wind,wind_offshore,2100,capital,751,0.215676645
Uruguay,electricity,solar,PV,1975,capital,578,0.215676645
Uruguay,electricity,solar,PV,1990,capital,578,0.215676645
Uruguay,electricity,solar,PV,2005,capital,578,0.215676645
Uruguay,electricity,solar,PV,2010,capital,578,0.215676645
Uruguay,electricity,solar,PV,2015,capital,578,0.215676645
